,station_name,station_id,lat,lng,_merge
0,190 Morgan,190 Morgan,40.711071680975735,-73.9320957361997,left_only
1,67 St & Erik Pl,2733.03,40.633385,-74.016562,both
2,5 Ave & 66 St,2782.02,40.635679,-74.020005,left_only
3,5 Ave & 66 St,2782.02,40.635879517,-74.019814253,right_only
4,7 Ave & 62 St,2821.05,40.63556,-74.01298,both
5,4 Ave & Shore Road Dr,2832.03,40.637033,-74.022141,both
6,57 St & 7 Ave,2861.02,40.638566,-74.010147,left_only
7,57 St & 7 Ave,2861.02,40.638609648,-74.01016295,right_only
8,63 St & 5 Ave,2872.02,40.63766,-74.01782,left_only
9,63 St & 5 Ave,2872.02,40.637603164,-74.017782211,right_only
10,3 Ave & Wakeman Pl,2883.03,40.638246,-74.024714,left_only
11,3 Ave & Wakeman Pl,2883.03,40.638263106,-74.024728417,right_only
12,6 Ave & 60 St,2912.08,40.638196,-74.013821,left_only
13,6 Ave & 60 St,2912.08,40.638225675,-74.013830781,right_only
14,62 St & 4 Ave,2923.01,40.639859,-74.019776,both
15,Wakeman Pl & Ridge Blvd,2932.03,40.639421,-74.026823,left_only
16,Wakeman Pl & Ridge Blvd,2932.03,40.639398694,-74.026735067,right_only
17,55 St & 7 Ave,2951.05,40.639673,-74.008957,left_only
18,55 St & 7 Ave,2951.05,40.639734626,-74.009088516,right_only
19,59 St & 5 Ave,2961.05,40.640125,-74.015726,left_only
20,59 St & 5 Ave,2961.05,40.640219927,-74.015792012,right_only
21,64 St & 3 Ave,2971.02,40.639978,-74.02324,both
22,6 Ave & 55 St,3000.08,40.640831,-74.010996,both
23,Church Ave & Story St,3007.05,40.642143369,-73.980934978,right_only
24,Church Ave & Story St,3007.05,40.642031,-73.981073,left_only
25,59 St & 4 Ave,3011.03,40.641269,-74.017651,left_only
26,59 St & 4 Ave,3011.03,40.641292334,-74.017611265,right_only
27,65 St & 2 Ave,3019.02,40.640493,-74.02564,both
28,Keegan Rd & 2 Ave,3019.03,40.64243139706092,-74.0255355834961,left_only
29,Keegan Rd & 2 Ave,3019.03,40.642524838,-74.025638938,right_only
30,50 St & 7 Ave,3038.08,40.642501,-74.006055,both
31,E 3 St & Church Ave,3046.03,40.643817,-73.977433,both
32,55 St & 5 Ave,3050.03,40.642408,-74.013318,left_only
33,55 St & 5 Ave,3050.03,40.642440677,-74.0134027,right_only
34,12 Ave & 36 St,3056.05,40.643546,-73.986418,both
35,52 St & 6 Ave,3084.05,40.642712355,-74.009496689,right_only
36,52 St & 6 Ave,3084.05,40.642703,-74.009441,left_only
37,Church Ave & McDonald Ave,3090.06,40.642809,-73.979239,left_only
38,Church Ave & McDonald Ave,3090.06,40.642923474,-73.97909987,right_only
39,57 St & 4 Ave,3093.07,40.642757416,-74.016952634,right_only
40,57 St & 4 Ave,3093.07,40.642622,-74.016866,left_only
41,46 St & 7 Ave,3117.05,40.644743,-74.003754,both
42,Ocean Pkwy & Church Ave,3125.09,40.644718957635746,-73.97451460361481,both
