station_name,station_id,lat,lng,_merge
190 Morgan,190 Morgan,40.711071680975735,-73.9320957361997,left_only
67 St & Erik Pl,2733.03,40.633385,-74.016562,both
5 Ave & 66 St,2782.02,40.635679,-74.020005,left_only
7 Ave & 62 St,2821.05,40.63556,-74.01298,both
4 Ave & Shore Road Dr,2832.03,40.637033,-74.022141,both
57 St & 7 Ave,2861.02,40.638566,-74.010147,left_only
63 St & 5 Ave,2872.02,40.63766,-74.01782,left_only
3 Ave & Wakeman Pl,2883.03,40.638246,-74.024714,left_only
6 Ave & 60 St,2912.08,40.638196,-74.013821,left_only
62 St & 4 Ave,2923.01,40.639859,-74.019776,both
Wakeman Pl & Ridge Blvd,2932.03,40.639421,-74.026823,left_only
55 St & 7 Ave,2951.05,40.639673,-74.008957,left_only
59 St & 5 Ave,2961.05,40.640125,-74.015726,left_only
64 St & 3 Ave,2971.02,40.639978,-74.02324,both
6 Ave & 55 St,3000.08,40.640831,-74.010996,both
Church Ave & Story St,3007.05,40.642031,-73.981073,left_only
59 St & 4 Ave,3011.03,40.641269,-74.017651,left_only
65 St & 2 Ave,3019.02,40.640493,-74.02564,both
Keegan Rd & 2 Ave,3019.03,40.64243139706092,-74.0255355834961,left_only
50 St & 7 Ave,3038.08,40.642501,-74.006055,both
E 3 St & Church Ave,3046.03,40.643817,-73.977433,both
55 St & 5 Ave,3050.03,40.642408,-74.013318,left_only
12 Ave & 36 St,3056.05,40.643546,-73.986418,both
52 St & 6 Ave,3084.05,40.642703,-74.009441,left_only
Church Ave & McDonald Ave,3090.06,40.642809,-73.979239,left_only
57 St & 4 Ave,3093.07,40.642622,-74.016866,left_only
46 St & 7 Ave,3117.05,40.644743,-74.003754,both
Ocean Pkwy & Church Ave,3125.09,40.644718957635746,-73.97451460361481,both
53 St & 5 Ave,3129.08,40.643371,-74.011884,left_only
Chester Ave & 12 Ave,3135.04,40.644367,-73.984276,left_only
58 St & 2 Ave,3138.09,40.644512,-74.021506,left_only
46 St & 6 Ave,3161.02,40.645921,-74.005708,left_only
Albemarle Rd & McDonald Ave,3166.03,40.645074,-73.979681,both
53 St & 4 Ave,3169.07,40.644862,-74.014531,both
57 St & 1 Ave,3178.02,40.646377,-74.023087,left_only
7 Ave & 41 St,3192.05,40.647379,-74.000911,left_only
Caton Ave & E 7 St,3199.01,40.647718,-73.973663,left_only
48 St & 5 Ave,3202.06,40.646351,-74.009271,both
Dahill Rd & 12 Ave,3208.07,40.646037,-73.980963,left_only
53 St & 2 Ave,3211.06,40.64744,-74.018846,both
58 St & Pier 4,3220.01,40.646475,-74.026081,left_only
Caton Ave & E 10 St,3230.01,40.648481,-73.97058,both
44 St & 6 Ave,3233.06,40.647105,-74.004483,left_only
Ft. Hamilton Pkwy & E 5 St,3240.15,40.649037,-73.97673,both
47 St & 3 Ave,3243.02,40.649143,-74.012384,both
52 St & 1 Ave,3253.01,40.649292,-74.020105,left_only
7 Ave & 40 St,3266.01,40.648169,-74.000057,both
E 8 St & Caton Ave,3272.01,40.648055,-73.972432,both
45 St & 4 Ave,3275.03,40.649145,-74.009486,left_only
Ft. Hamilton Pkwy & E 2 St,3280.04,40.648005,-73.979342,left_only
48 St & 2 Ave,3283.05,40.650176,-74.015606,both
Caton Ave & Argyle Rd,3303.03,40.65,-73.97,left_only
5 Ave & 41 St,3306.03,40.649983,-74.005144,left_only
Prospect Ave & Greenwood Ave,3312.07,40.651745,-73.975988,both
44 St & 3 Ave,3315.05,40.651173,-74.011405,left_only
Park Cir & East Dr,3344.02,40.651566,-73.972212,both
41 St & 4 Ave,3347.03,40.651354,-74.007168,both
Greenwood Ave & E 4 St,3353.04,40.650739,-73.977739,both
2 Ave & 44 St,3356.07,40.65230357303063,-74.01344954967499,left_only
Parade Pl & Crooke Ave,3376.02,40.651847,-73.965248,left_only
5 Ave & 37 St,3379.03,40.652657,-74.002356,both
Prospect Park SW & Greenwood Ave,3385.06,40.652563,-73.972573,left_only
41 St & 3 Ave,3388.02,40.652512,-74.008906,both
McDonald Ave & Vanderbilt St,3394.03,40.651654,-73.981231,left_only
36 St & 4 Ave,3420.01,40.654144,-74.00422,both
Prospect Ave & Vanderbilt St,3426.02,40.653368,-73.976291,left_only
2 Ave & 43 St,3428.04,40.65292829363811,-74.01286482810974,left_only
Bedford Ave & Clarkson Ave,3439.03,40.65519,-73.9564,left_only
34 St & 5 Ave,3451.01,40.654098,-74.001131,both
Prospect Park SW & Vanderbilt St,3457.03,40.65482,-73.973217,left_only
2 Ave & 36 St,3460.01,40.65708866668485,-74.00870203971863,left_only
36 St & 3 Ave,3460.02,40.655716,-74.006664,both
2 Av & 37 St,3460.04,40.656326,-74.009627,both
2 Ave & 39 St,3460.05,40.655722167971554,-74.01000827550888,left_only
Clarkson Ave & Nostrand Ave,3472.03,40.6555,-73.94975,left_only
Parkside Ave & Flatbush Ave,3480.04,40.65563,-73.95968,left_only
Clarkson Ave & Utica Ave,3486.02,40.65666,-73.93109,left_only
34 St & 4 Ave,3492.04,40.655278,-74.003101,left_only
Prospect Park SW & 16 St,3498.09,40.657265,-73.974165,both
New York Ave & Hawthorne St,3504.02,40.65794,-73.94735,both
Prospect Park W & 20 St,3507.04,40.656633,-73.983864,both
Winthrop St & Rogers Ave,3512.03,40.65686,-73.95331,left_only
7 Ave & 22 St,3515.01,40.658029,-73.989605,left_only
Flatbush Ave & Fenimore St,3520.01,40.65798,-73.96051,left_only
29 St & 5 Ave,3523.06,40.656986,-73.998194,both
Winthrop St & Schenectady Ave,3526.06,40.65808,-73.93415,left_only
2 Ave & 32 St,3532.02,40.659176,-74.006584,both
Albany Ave & Winthrop St,3535.02,40.65791,-73.93967,both
11 Ave & Prospect Ave,3538.09,40.65629,-73.977335,left_only
Winthrop St & Nostrand Ave,3544.02,40.65707,-73.95005,both
19 St & 8 Ave,3547.04,40.658489,-73.985543,both
Bedford Ave & Fenimore St,3552.09,40.65815,-73.95674,left_only
24 St & 5 Ave,3555.04,40.659555,-73.995068,left_only
30 St & 4 Ave,3564.04,40.657743,-74.001141,both
Rutland Rd & E 45 St,3567.05,40.66034,-73.93618,both
Windsor Pl & Howard Pl,3579.04,40.659490558938955,-73.98013919591904,left_only
Nostrand Ave & Rutland Rd,3585.06,40.6595,-73.95041,left_only
7 Ave & 20 St,3588.01,40.659053,-73.98854,left_only
Maple St & Flatbush Ave,3593.01,40.66026,-73.96045,both
Flatbush Ave & Lincoln Rd,3593.1,40.66131,-73.96091,left_only
4 Ave & 26 St,3596.04,40.660079,-73.998633,left_only
Midwood St & Utica Ave,3599.01,40.66124,-73.93164,both
Maple St & Albany Ave,3608.06,40.66155,-73.93974,both
Prospect Park SW & 10 Ave,3611.02,40.659945,-73.977504,both
Maple St & New York Ave,3617.02,40.66104,-73.94795,both
Windsor Pl & 8 Ave,3620.02,40.660906,-73.983074,both
Bedford Ave & Maple St,3625.04,40.66035,-73.95679,both
Rogers Ave & Lincoln Rd,3625.07,40.66127,-73.95352,left_only
6 Ave & 21 St,3628.11,40.66016,-73.990974,left_only
