station_name,count_of_starts,trip_duration,est_trip_distance_miles,count_of_end_destinations
1 Ave & E 110 St,2026.0,11.771051332675222,1.0886475814412635,2036
1 Ave & E 16 St,4938.0,10.093631024706358,0.9032239773187525,4938
1 Ave & E 18 St,6079.0,9.838249163787903,0.9198354992597467,6125
1 Ave & E 30 St,4044.0,10.87144329047148,1.0820820969337288,4084
1 Ave & E 39 St,4198.0,12.562430522471018,1.2013839923773224,4240
1 Ave & E 44 St,2566.0,13.979728500909326,1.2682307092751364,2596
1 Ave & E 6 St,4985.0,10.56931461049816,0.8815667001003008,5031
1 Ave & E 62 St,5828.0,13.155244795241362,1.2249365133836652,5855
1 Ave & E 68 St,8249.0,12.984971915787773,1.3431167414232028,8313
1 Ave & E 94 St,1712.0,14.327978971962617,1.1794918224299065,1726
1 Pl & Clinton St,1419.0,11.252995066948555,1.1153136011275546,1411
1 St & 6 Ave,1255.0,11.14159362549801,0.936996015936255,1264
10 Ave & W 14 St,7244.0,20.687309037364255,1.592684980673661,7257
10 Ave & W 202 St,84.0,14.526984126984127,1.096547619047619,84
10 Ave & W 204 St,82.0,14.824390243902437,0.8302439024390244,83
10 Ave & W 207 St,261.0,11.307854406130268,0.9137931034482759,258
10 Ave & W 215 St,162.0,15.54783950617284,1.090679012345679,172
10 Ave & W 28 St,5764.0,11.900404811473514,1.0434888965995837,5793
10 St & 2 Ave,760.0,12.880877192982457,1.2009868421052632,767
10 St & 5 Ave,1325.0,11.72308176100629,1.0731169811320755,1331
10 St & 7 Ave,1869.0,10.513920099875156,1.059860888175495,1874
11 Ave & Prospect Ave,836.0,12.36206140350877,1.1054425837320574,843
11 Ave & W 27 St,5393.0,14.07496136967674,1.3740181717040607,5380
11 Ave & W 41 St,8910.0,12.029190048634492,1.1201133557800222,8924
11 Ave & W 59 St,4061.0,15.413559878519248,1.4460059098744151,4052
11 St & 43 Ave,362.0,17.784760589318598,1.2729005524861878,377
11 St & Washington St,,,,3
12 Ave & 36 St,393.0,24.18668363019508,0.94529262086514,399
12 Ave & W 125 St,2465.0,22.465645706558487,2.2496511156186614,2471
12 Ave & W 40 St,7445.0,21.3494067606895,1.7821665547347212,7490
12 St & 4 Ave,1236.0,12.906094929881338,1.1044579288025889,1233
12 St & Sinatra Dr N,,,,9
14 St & 5 Ave,1612.0,13.365777502067825,1.2285421836228287,1609
14 St & 7 Ave,1584.0,11.632523148148149,1.0446401515151515,1595
14 St Ferry - 14 St & Shipyard Ln,,,,27
16th St & 4th Ave,498.0,12.67061579651941,1.229016064257028,490
17 St & 5 Ave,1120.0,10.928214285714287,1.1171428571428572,1116
18 St & 27 Ave,1149.0,10.479489411082099,0.8070147954743255,1166
19 St & 24 Ave,882.0,12.707690854119427,0.835124716553288,895
19 St & 8 Ave,373.0,11.837712243074172,1.2373726541554961,238
190 Morgan,,,,4
2 Av & 37 St,79.0,17.04620253164557,1.8344303797468355,101
2 Ave & 32 St,138.0,23.88900966183575,1.9344202898550724,156
2 Ave & 36 St,236.0,21.624011299435026,1.695127118644068,256
2 Ave & 39 St,189.0,16.907760141093473,1.575079365079365,217
2 Ave & 43 St,137.0,23.07810218978102,1.0037956204379563,138
2 Ave & 44 St,174.0,22.587547892720305,1.19,180
2 Ave & E 104 St,1470.0,11.893015873015873,0.95421768707483,1500
2 Ave & E 122 St,1026.0,13.171426250812216,1.1915984405458089,1054
